Full Name,Pos,cluster
Steven Adams,C,Rim Protector
Bam Adebayo,C,Skilled Big
LaMarcus Aldridge,C,Skilled Big
Jarrett Allen,C,Skilled Big
Al-Farouq Aminu,PF,Scoring Forward
Kyle Anderson,SF,Slasher Shot Creator
Ryan Anderson,PF,Slasher Shot Creator
Giannis Antetokounmpo,PF,Scoring Forward
Carmelo Anthony,PF,Slasher Shot Creator
OG Anunoby,SF,Lockdown
Ryan Arcidiacono,PG,Two Way Threat
Trevor Ariza,SF,Lockdown
D.J. Augustin,PG,Combo Guard
Deandre Ayton,C,Skilled Big
Lonzo Ball,PG,Combo Guard
Harrison Barnes,PF-SF,Slasher Shot Creator
Will Barton,SG,Two Way Threat
Nicolas Batum,SF,Two Way Threat
Aron Baynes,C,Rim Protector
Kent Bazemore,SG,Two Way Threat
Bradley Beal,SG,Two Way Threat
Michael Beasley,PF,Scoring Forward
Marco Belinelli,SG,Lockdown
Dragan Bender,PF,Slasher Shot Creator
Patrick Beverley,PG,Combo Guard
Bismack Biyombo,C,Rim Protector
Nemanja Bjelica,PF,Slasher Shot Creator
Eric Bledsoe,PG,Combo Guard
Andrew Bogut,C,Rim Protector
Jonah Bolden,PF,Scoring Forward
Devin Booker,SG,Two Way Threat
Avery Bradley,SG,Lockdown
Corey Brewer,SF,Lockdown
Mikal Bridges,SF,Lockdown
Miles Bridges,SF,Slasher Shot Creator
Malcolm Brogdon,SG,Two Way Threat
Dillon Brooks,SF,Lockdown
Bruce Brown,SG,Slasher Shot Creator
Jaylen Brown,SG,Slasher Shot Creator
Jalen Brunson,PG,Combo Guard
Thomas Bryant,C,Skilled Big
Reggie Bullock,SG,Lockdown
Trey Burke,PG,Combo Guard
Jimmy Butler,SF-SG,Two Way Threat
Kentavious Caldwell-Pope,SG,Lockdown
Clint Capela,C,Rim Protector
DeMarre Carroll,PF,Slasher Shot Creator
Vince Carter,SF,Two Way Threat
Michael Carter-Williams,PG,Combo Guard
Omri Casspi,SF,Slasher Shot Creator
Willie Cauley-Stein,C,Skilled Big
Tyson Chandler,C,Rim Protector
Wilson Chandler,PF-SF,Slasher Shot Creator
Marquese Chriss,PF,Scoring Forward
Jordan Clarkson,SG,Two Way Threat
John Collins,PF,Skilled Big
Darren Collison,PG,Combo Guard
Mike Conley,PG,Combo Guard
DeMarcus Cousins,C,Skilled Big
Robert Covington,SF,Lockdown
Allen Crabbe,SG,Lockdown
Torrey Craig,SF,Scoring Forward
Jamal Crawford,SG,Combo Guard
Jae Crowder,SF,Lockdown
Dante Cunningham,PF,Scoring Forward
Stephen Curry,PG,Combo Guard
Anthony Davis,C,Skilled Big
Ed Davis,C,Rim Protector
DeMar DeRozan,SG,Two Way Threat
Dewayne Dedmon,C,Rim Protector
Matthew Dellavedova,PG,Floor General
Luol Deng,SF,Slasher Shot Creator
Gorgui Dieng,C,Skilled Big
Spencer Dinwiddie,PG,Floor General
Damyean Dotson,SG,Lockdown
Andre Drummond,C,Rim Protector
Jared Dudley,PF,Slasher Shot Creator
Kris Dunn,PG,Floor General
Kevin Durant,SF,Slasher Shot Creator
Wayne Ellington,SG,Lockdown
Joel Embiid,C,Rim Protector
James Ennis,SF,Slasher Shot Creator
Tyreke Evans,SG,Combo Guard
Dante Exum,PG,Combo Guard
Kenneth Faried,C,Rim Protector
Derrick Favors,C,Skilled Big
Raymond Felton,PG,Floor General
Terrance Ferguson,SG,Lockdown
Yogi Ferrell,PG,Combo Guard
Dorian Finney-Smith,SF,Slasher Shot Creator
Bryn Forbes,SG,Two Way Threat
Evan Fournier,SG,Two Way Threat
De'Aaron Fox,PG,Floor General
Channing Frye,C,Scoring Forward
Danilo Gallinari,SF,Slasher Shot Creator
Marc Gasol,C,Skilled Big
Pau Gasol,C,Skilled Big
Rudy Gay,PF,Slasher Shot Creator
Paul George,SF,Lockdown
Taj Gibson,PF,Skilled Big
Shai Gilgeous-Alexander,PG,Combo Guard
Rudy Gobert,C,Rim Protector
Aaron Gordon,PF,Slasher Shot Creator
Eric Gordon,SG,Two Way Threat
Marcin Gortat,C,Rim Protector
Jerami Grant,PF,Scoring Forward
Jerian Grant,PG,Combo Guard
Danny Green,SG,Lockdown
Draymond Green,PF,Scoring Forward
JaMychal Green,PF,Skilled Big
Jeff Green,PF,Slasher Shot Creator
Blake Griffin,PF,Scoring Forward
James Harden,PG,Combo Guard
Maurice Harkless,SF,Slasher Shot Creator
Devin Harris,PG,Combo Guard
Gary Harris,SG,Lockdown
Joe Harris,SG,Lockdown
Tobias Harris,PF,Slasher Shot Creator
Andrew Harrison,PG,Combo Guard
Josh Hart,SG,Lockdown
Udonis Haslem,C,Skilled Big
Gordon Hayward,PF,Slasher Shot Creator
John Henson,C,Rim Protector
Mario Hezonja,SF,Slasher Shot Creator
Buddy Hield,SG,Lockdown
George Hill,PG,Two Way Threat
Solomon Hill,SF,Two Way Threat
Jrue Holiday,SG,Floor General
Justin Holiday,SG,Lockdown
Rondae Hollis-Jefferson,SF,Scoring Forward
Rodney Hood,SG,Two Way Threat
Al Horford,C,Skilled Big
Dwight Howard,C,Rim Protector
Kevin Huerter,SG,Two Way Threat
Chandler Hutchison,SF,Scoring Forward
Serge Ibaka,C,Skilled Big
Andre Iguodala,SF,Two Way Threat
Joe Ingles,PF,Two Way Threat
Brandon Ingram,SF,Two Way Threat
Kyrie Irving,PG,Combo Guard
Jonathan Isaac,PF,Slasher Shot Creator
Wesley Iwundu,SF,Slasher Shot Creator
Frank Jackson,PG,Lockdown
Josh Jackson,SG,Slasher Shot Creator
Justin Jackson,SF,Lockdown
Reggie Jackson,PG,Floor General
LeBron James,SF,Combo Guard
Jonas Jerebko,PF,Scoring Forward
Amir Johnson,C,Skilled Big
James Johnson,PF,Slasher Shot Creator
Stanley Johnson,SF,Two Way Threat
Tyler Johnson,PG,Two Way Threat
Wesley Johnson,SF,Lockdown
Terrence Jones,PF,Skilled Big
DeAndre Jordan,C,Rim Protector
Cory Joseph,PG,Combo Guard
Enes Kanter,C,Rim Protector
Michael Kidd-Gilchrist,PF,Scoring Forward
Maxi Kleber,PF,Scoring Forward
Brandon Knight,PG,Combo Guard
Kevin Knox,PF,Slasher Shot Creator
Kyle Korver,SG-PF,Lockdown
Kosta Koufos,C,Rim Protector
