,Full Name,Year,Tm,FG%,Dist.,2P_A,0-3_A,3-10_A,10-16_A,16-3pt_A,3P_A,2P%,0-3%,3-10%,10-16%,16-3pt%,3P%,Astd_2P,Dunk%,Dunks_Md,Astd_3P,%Corner3_A,Corner_3P%,Heaves_A,Heaves_Md
0,Mahmoud Abdul-Rauf,2000,VAN,0.488,17.7,0.943,0.028,0.049,0.171,0.695,0.057,0.5,0.571,0.25,0.571,0.497,0.286,0.543,0.0,0.0,0.5,0.071,0.0,0.0,0.0
0,Tariq Abdul-Wahad,2000,DEN,0.387,11.4,0.91,0.288,0.171,0.135,0.315,0.09,0.386,0.594,0.211,0.2,0.371,0.4,0.641,0.027,3.0,1.0,0.2,1.0,0.0,0.0
1,Tariq Abdul-Wahad,2001,TOT,0.374,8.1,0.986,0.395,0.218,0.129,0.245,0.014,0.372,0.552,0.438,0.211,0.111,0.5,0.667,0.068,8.0,1.0,0.0,,0.0,0.0
2,Tariq Abdul-Wahad,2001,DEN,0.379,8.0,0.986,0.4,0.221,0.117,0.248,0.014,0.378,0.552,0.438,0.235,0.111,0.5,0.667,0.069,8.0,1.0,0.0,,0.0,0.0
3,Tariq Abdul-Wahad,2001,DAL,0.0,13.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,,,0.0,0.0
4,Tariq Abdul-Wahad,2002,DAL,0.466,8.4,0.983,0.448,0.121,0.224,0.19,0.017,0.474,0.692,0.429,0.077,0.455,0.0,0.852,0.138,8.0,,0.0,,1.0,0.0
0,Shareef Abdur-Rahim,2000,VAN,0.472,10.1,0.95,0.28,0.273,0.128,0.27,0.05,0.487,0.693,0.372,0.415,0.423,0.188,0.672,0.073,84.0,0.917,0.406,0.154,2.0,0.0
1,Shareef Abdur-Rahim,2001,ATL,0.461,8.6,0.946,0.347,0.271,0.133,0.196,0.054,0.47,0.578,0.442,0.384,0.378,0.3,0.501,0.085,99.0,1.0,0.329,0.304,1.0,0.0
2,Shareef Abdur-Rahim,2002,ATL,0.478,9.0,0.949,0.317,0.272,0.139,0.221,0.051,0.485,0.632,0.429,0.424,0.383,0.35,0.538,0.079,93.0,1.0,0.217,0.538,1.0,0.0
3,Shareef Abdur-Rahim,2003,TOT,0.475,7.8,0.968,0.357,0.319,0.116,0.176,0.032,0.482,0.585,0.426,0.426,0.414,0.265,0.539,0.069,71.0,0.889,0.206,0.429,0.0,0.0
