,Full Name,cluster,Last Name,First Name,Year,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,salary,Dist.,2P_A,0-3_A,3-10_A,10-16_A,16-3pt_A,3P_A,0-3%,3-10%,10-16%,16-3pt%,Astd_2P,Dunk%,Dunks_Md,Astd_3P,%Corner3_A,Corner_3P%,Heaves_A,Heaves_Md
0,Arron Afflalo,Shooting Wing,Afflalo,Arron,2017.0,SG,32.0,ORL,53.0,3.0,682.0,4.7,11.6,0.401,1.9,5.0,0.386,2.7,6.6,0.413,1.6,1.9,0.846,0.3,4.5,4.7,2.2,0.3,0.6,1.5,4.0,12.8,98.0,115.0,5.8,0.516,0.4320000000000001,0.16,0.6,10.1,5.3,6.2,0.3,1.1,10.8,12.5,-0.1,0.2,0.1,0.009000000000000001,-4.1,-1.8,-5.8,-0.7,1500000.0,17.1,0.568,0.093,0.123,0.154,0.198,0.4320000000000001,0.733,0.45,0.36,0.281,0.632,0.0,0.0,0.926,0.414,0.276,0.0,0.0
2,Arron Afflalo,Shooting Wing,Afflalo,Arron,2016.0,SG,31.0,SAC,61.0,45.0,1580.0,5.9,13.5,0.44,2.0,4.8,0.411,3.9,8.6,0.457,2.7,3.0,0.892,0.3,3.7,4.0,2.5,0.7,0.2,1.3,3.3,16.5,109.0,116.0,8.9,0.5589999999999999,0.36,0.221,0.7,8.4,4.6,7.4,0.7,0.3,8.4,14.4,1.2,0.2,1.4,0.043,-1.4,-2.1,-3.5,-0.6,12500000.0,16.8,0.64,0.1,0.117,0.18600000000000005,0.236,0.36,0.5710000000000001,0.449,0.449,0.424,0.504,0.002,1.0,0.968,0.384,0.517,1.0,0.0
3,Arron Afflalo,Shooting Wing,Afflalo,Arron,2015.0,SG,30.0,NYK,71.0,57.0,2371.0,7.7,17.3,0.443,2.0,5.2,0.382,5.7,12.2,0.469,2.4,2.8,0.84,0.5,5.3,5.8,3.1,0.5,0.2,1.8,3.1,19.7,105.0,112.0,10.9,0.531,0.298,0.16399999999999998,1.1,11.0,6.1,9.9,0.5,0.3,8.7,17.9,1.8,0.9,2.7,0.055,-0.6,-1.8,-2.4,-0.2,8000000.0,14.8,0.7020000000000001,0.115,0.17800000000000002,0.193,0.217,0.298,0.609,0.458,0.455,0.416,0.49,0.003,2.0,0.912,0.424,0.446,0.0,0.0
4,Arron Afflalo,Shooting Wing,Afflalo,Arron,2014.0,SG,29.0,TOT,78.0,72.0,2502.0,7.5,17.8,0.424,2.4,6.7,0.354,5.2,11.1,0.466,3.4,4.0,0.843,0.5,4.4,5.0,2.6,0.8,0.1,2.3,3.4,20.8,103.0,111.0,10.7,0.5329999999999999,0.377,0.224,1.1,9.7,5.3,8.2,0.8,0.2,10.7,19.0,1.6,1.0,2.6,0.05,-0.5,-1.3,-1.8,0.1,7750000.0,16.3,0.623,0.124,0.136,0.161,0.202,0.377,0.573,0.375,0.486,0.447,0.5489999999999999,0.0,0.0,0.958,0.387,0.341,0.0,0.0
5,Arron Afflalo,Shooting Wing,Afflalo,Arron,2014.0,SG,29.0,DEN,53.0,53.0,1750.0,8.0,18.8,0.428,2.3,6.9,0.337,5.7,11.8,0.481,3.6,4.3,0.841,0.6,4.5,5.1,2.9,0.9,0.1,2.4,3.1,22.0,104.0,112.0,11.7,0.5329999999999999,0.37,0.23,1.3,10.2,5.6,9.3,0.9,0.2,10.3,19.9,1.4,0.4,1.8,0.05,0.0,-1.6,-1.6,0.2,7750000.0,16.2,0.63,0.117,0.14800000000000002,0.17,0.195,0.37,0.5710000000000001,0.361,0.5,0.5,0.5429999999999999,0.0,0.0,0.976,0.383,0.355,0.0,0.0
6,Arron Afflalo,Shooting Wing,Afflalo,Arron,2014.0,SG,29.0,POR,25.0,19.0,752.0,6.4,15.4,0.414,2.4,6.1,0.4,3.9,9.3,0.423,2.7,3.2,0.851,0.4,4.1,4.5,1.9,0.6,0.1,2.2,4.0,17.9,100.0,108.0,8.2,0.5329999999999999,0.396,0.207,0.9,8.5,4.8,5.5,0.6,0.2,11.8,16.7,0.2,0.5,0.8,0.049,-1.5,-0.8,-2.3,-0.1,7750000.0,16.7,0.604,0.145,0.101,0.132,0.225,0.396,0.5760000000000001,0.435,0.433,0.314,0.569,0.0,0.0,0.917,0.4,0.306,0.0,0.0
7,Arron Afflalo,Shooting Wing,Afflalo,Arron,2013.0,SG,28.0,ORL,73.0,73.0,2552.0,9.3,20.3,0.459,2.6,6.0,0.4270000000000001,6.7,14.3,0.473,5.5,6.7,0.815,0.6,4.6,5.3,5.0,0.7,0.1,2.9,2.7,26.7,110.0,112.0,16.0,0.574,0.297,0.332,1.4,10.2,5.8,16.9,0.7,0.1,11.2,23.3,4.3,1.0,5.3,0.099,1.7,-2.3,-0.6,0.9,7312500.0,16.1,0.703,0.157,0.081,0.161,0.304,0.297,0.591,0.366,0.509,0.42,0.53,0.002,2.0,0.883,0.3,0.489,2.0,0.0
8,Arron Afflalo,Shooting Wing,Afflalo,Arron,2012.0,SF,27.0,ORL,64.0,64.0,2307.0,9.0,20.4,0.439,1.6,5.4,0.3,7.3,15.0,0.489,4.3,5.0,0.857,0.7,4.7,5.4,4.7,0.9,0.2,3.1,3.1,23.9,102.0,112.0,13.0,0.527,0.265,0.246,1.4,10.3,5.8,14.6,0.9,0.4,12.1,22.5,1.5,0.5,2.0,0.042,-0.3,-2.0,-2.3,-0.2,7750000.0,14.8,0.735,0.175,0.128,0.202,0.23,0.265,0.6459999999999999,0.414,0.4970000000000001,0.404,0.486,0.006,4.0,0.958,0.304,0.438,0.0,0.0
9,Arron Afflalo,Shooting Wing,Afflalo,Arron,2011.0,SG,26.0,DEN,62.0,62.0,2086.0,8.0,17.1,0.471,2.1,5.4,0.398,5.9,11.7,0.504,4.8,6.0,0.7979999999999999,1.0,3.8,4.8,3.6,0.9,0.3,2.1,3.3,23.0,116.0,111.0,14.7,0.584,0.316,0.353,2.3,8.5,5.5,11.1,0.9,0.5,9.5,19.1,4.7,0.6,5.3,0.121,2.5,-1.6,0.8,1.5,7562500.0,13.5,0.684,0.272,0.142,0.107,0.163,0.316,0.684,0.32299999999999995,0.373,0.447,0.6890000000000001,0.009000000000000001,6.0,0.966,0.493,0.45,0.0,0.0
10,Arron Afflalo,Shooting Wing,Afflalo,Arron,2010.0,SG,25.0,DEN,69.0,69.0,2324.0,6.7,13.5,0.498,2.3,5.4,0.423,4.5,8.2,0.546,3.0,3.5,0.847,1.0,4.5,5.4,3.6,0.7,0.7,1.5,3.3,18.7,123.0,111.0,13.6,0.62,0.396,0.26,2.3,9.9,6.2,10.9,0.7,1.0,9.2,14.8,4.8,1.4,6.2,0.128,2.4,-0.2,2.1,2.4,1959577.0,14.8,0.604,0.241,0.132,0.077,0.155,0.396,0.662,0.518,0.5,0.412,0.565,0.002,1.0,1.0,0.581,0.451,1.0,0.0
11,Arron Afflalo,Shooting Wing,Afflalo,Arron,2009.0,SG,24.0,DEN,82.0,75.0,2221.0,6.2,13.3,0.465,2.5,5.7,0.434,3.7,7.7,0.488,1.6,2.2,0.735,1.3,4.4,5.7,3.1,1.0,0.7,1.7,5.1,16.5,114.0,111.0,10.9,0.5760000000000001,0.426,0.168,3.1,9.9,6.5,9.3,1.0,1.0,10.5,14.0,2.8,1.4,4.3,0.092,0.8,-0.5,0.3,1.3,1086240.0,15.3,0.574,0.258,0.056,0.079,0.181,0.426,0.55,0.364,0.391,0.481,0.5429999999999999,0.012,6.0,0.972,0.562,0.436,0.0,0.0
12,Arron Afflalo,Shooting Wing,Afflalo,Arron,2008.0,SG,23.0,DET,74.0,8.0,1234.0,5.9,13.5,0.4370000000000001,1.9,4.8,0.402,3.9,8.7,0.456,2.6,3.2,0.8170000000000001,1.3,4.7,6.0,2.0,1.3,0.6,1.9,6.5,16.3,107.0,110.0,8.9,0.5479999999999999,0.35700000000000004,0.237,2.8,10.1,6.4,5.5,1.3,0.8,11.5,14.5,0.8,1.0,1.8,0.069,-1.7,-0.7,-2.4,-0.1,1015440.0,15.8,0.643,0.24,0.023,0.07,0.31,0.35700000000000004,0.625,0.429,0.333,0.355,0.534,0.003,1.0,0.93,0.654,0.429,0.0,0.0
13,Arron Afflalo,Shooting Wing,Afflalo,Arron,2007.0,SG,22.0,DET,75.0,9.0,970.0,5.6,13.7,0.411,0.6,2.7,0.208,5.0,10.9,0.461,3.9,4.9,0.782,2.0,5.7,7.8,2.9,1.8,0.5,1.9,4.7,15.6,104.0,104.0,10.2,0.494,0.199,0.361,4.4,12.5,8.4,8.1,1.8,0.7,10.9,15.2,0.5,1.4,1.9,0.092,-2.3,0.6,-1.6,0.1,944520.0,12.7,0.8009999999999999,0.332,0.054000000000000006,0.129,0.28600000000000003,0.199,0.525,0.308,0.419,0.435,0.652,0.008,2.0,0.8,0.458,0.091,1.0,0.0
14,LaMarcus Aldridge,Offensive Center,Aldridge,LaMarcus,2018.0,C,33.0,SAS,81.0,81.0,2687.0,12.4,24.0,0.519,0.2,0.8,0.238,12.3,23.2,0.528,6.3,7.5,0.847,4.6,9.0,13.5,3.5,0.8,1.9,2.6,3.3,31.4,117.0,110.0,22.9,0.5760000000000001,0.032,0.312,10.3,19.8,15.1,11.6,0.8,3.4,8.8,26.9,6.4,2.9,9.3,0.16699999999999998,1.2,0.5,1.6,2.5,22347015.0,9.7,0.968,0.27,0.246,0.252,0.201,0.032,0.716,0.485,0.4370000000000001,0.442,0.588,0.042,51.0,0.9,0.095,0.25,0.0,0.0
