Full Name,Pos,cluster,Year,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,height,weight,salary,Dist.,2P_A,0-3_A,3-10_A,10-16_A,16-3pt_A,3P_A,0-3%,3-10%,10-16%,16-3pt%,Astd_2P,Dunk%,Dunks_Md,Astd_3P,%Corner3_A,Corner_3P%,Heaves_A,Heaves_Md
Arron Afflalo,SG,Shooting Wing,2012.642857142857,27.642857142857142,63.785714285714285,43.714285714285715,1715.2142857142858,6.828571428571429,15.557142857142855,0.43792857142857144,2.035714285714286,5.364285714285714,0.3748571428571429,4.771428571428571,10.192857142857145,0.46707142857142864,3.1214285714285714,3.757142857142857,0.8292857142857141,0.7714285714285715,4.528571428571429,5.299999999999999,3.0214285714285714,0.8142857142857144,0.35714285714285715,2.007142857142857,3.8285714285714287,18.8,106.64285714285714,111.42857142857143,10.664285714285713,0.546,0.35150000000000003,0.23735714285714288,1.7142857142857142,9.957142857142857,5.828571428571428,9.221428571428572,0.8142857142857144,0.5642857142857143,10.457142857142857,16.878571428571426,1.8142857142857145,0.7642857142857143,2.5928571428571425,0.06485714285714285,-0.6500000000000001,-1.2785714285714285,-1.9214285714285715,0.2785714285714285,77.0,210.0,5310868.5,15.571428571428573,0.6485000000000001,0.17585714285714285,0.11014285714285717,0.14107142857142857,0.22142857142857145,0.35150000000000003,0.6177857142857143,0.40714285714285714,0.4332142857142857,0.4012142857142857,0.5655714285714286,0.0033571428571428576,1.7857142857142858,0.935142857142857,0.43985714285714284,0.37864285714285717,0.35714285714285715,0.0
LaMarcus Aldridge,PF,Offensive Center,2011.7,26.7,73.2,73.2,2642.4,12.149999999999999,25.000000000000004,0.487,0.23000000000000004,0.7399999999999999,0.24610000000000004,11.930000000000001,24.279999999999998,0.49239999999999995,5.47,6.780000000000001,0.8030999999999999,4.0200000000000005,8.53,12.56,3.0599999999999996,1.19,1.52,2.42,3.6300000000000003,30.01,111.6,105.7,20.859999999999996,0.5363,0.02880000000000001,0.27180000000000004,8.75,18.79,13.770000000000001,10.77,1.19,2.25,8.030000000000001,26.47,5.2700000000000005,3.12,8.400000000000002,0.1535,0.97,0.51,1.48,2.31,83.0,260.0,12409160.2,11.120000000000001,0.9712,0.23800000000000004,0.20750000000000002,0.20540000000000003,0.32049999999999995,0.02880000000000001,0.6976,0.4402000000000001,0.41450000000000004,0.42210000000000003,0.5551999999999999,0.0605,68.5,0.8256,0.29639999999999994,0.2563000000000001,1.7,0.0
Jarrett Allen,C,Defensive Center,2017.0,19.0,72.0,31.0,1441.0,7.9,13.4,0.589,0.2,0.5,0.333,7.7,12.9,0.599,3.8,5.0,0.7759999999999999,4.9,8.2,13.1,1.7,0.9,3.0,2.8,5.0,19.8,119.0,108.0,17.5,0.636,0.038,0.37,10.5,18.1,14.3,5.4,0.9,4.6,15.1,16.3,2.7,1.5,4.2,0.141,-1.3,1.4,0.2,0.8,83.0,237.0,1713720.0,3.7,0.962,0.6679999999999999,0.232,0.038,0.023,0.038,0.698,0.38,0.333,0.333,0.843,0.353,117.0,1.0,0.867,0.385,2.0,1.0
Al-Farouq Aminu,SF,Versatile Forward,2013.5,23.5,73.625,43.5,1824.0,5.6875,13.575000000000001,0.42125,1.4375,4.325,0.301,4.2625,9.225,0.4600000000000001,2.65,3.6125,0.727625,2.9875000000000003,9.174999999999999,12.1625,2.5,2.0625,1.2625,2.6625,4.0,15.462499999999999,101.25,105.625,12.187499999999998,0.51,0.310875,0.2685,6.575,20.312500000000004,13.4125,7.3,2.0625,2.0,14.924999999999999,15.587499999999999,0.5625,2.1125000000000003,2.7125,0.0695,-1.6874999999999998,1.4749999999999999,-0.19999999999999998,0.85,81.0,220.0,4430970.5,11.899999999999999,0.689125,0.354875,0.16525,0.046625,0.1215,0.310875,0.600875,0.32337499999999997,0.31162500000000004,0.26962500000000006,0.579,0.09499999999999999,39.625,0.982375,0.414875,0.34700000000000003,0.625,0.0
Kyle Anderson,SF,Shooting Wing,2015.5,22.5,64.25,25.0,1150.25,5.15,11.600000000000001,0.44699999999999995,0.525,1.65,0.32625000000000004,4.625,9.975000000000001,0.46625,2.1750000000000003,2.975,0.72275,1.35,8.825,10.2,4.699999999999999,2.5,1.25,2.025,3.5,13.05,103.5,99.75,12.375,0.506,0.14250000000000002,0.261,3.1,19.2,11.299999999999999,12.924999999999999,2.5,1.9749999999999999,13.675,13.35,0.875,2.3,3.1750000000000003,0.11375,-2.375,3.525,1.1999999999999997,1.25,81.0,230.0,1395085.75,10.625,0.8575,0.30174999999999996,0.2145,0.16599999999999998,0.17575,0.14250000000000002,0.61825,0.39675,0.37625,0.34675,0.48300000000000004,0.028499999999999998,7.5,0.98675,0.696,0.4235,0.5,0.0
Ryan Anderson,PF,Versatile Forward,2012.5,24.5,62.2,28.1,1643.3,8.610000000000001,20.34,0.4234,4.12,10.809999999999999,0.38070000000000004,4.510000000000001,9.53,0.47619999999999996,3.6800000000000006,4.28,0.8557,3.930000000000001,6.7299999999999995,10.68,1.75,1.06,0.7,1.9100000000000001,4.01,25.05,115.7,109.0,16.77,0.5650999999999999,0.5416000000000001,0.2121,8.7,14.969999999999999,11.819999999999999,5.660000000000001,1.06,1.0499999999999998,7.9399999999999995,21.19,3.4699999999999998,1.2399999999999998,4.71,0.139,2.6900000000000004,-1.9900000000000002,0.7300000000000001,1.1500000000000004,82.0,240.0,7850978.0,16.979999999999997,0.4584,0.2394,0.0712,0.048600000000000004,0.09929999999999999,0.5416000000000001,0.5630999999999999,0.3206,0.39159999999999995,0.39680000000000004,0.43570000000000003,0.024200000000000006,12.9,0.9670000000000002,0.17810000000000004,0.3931,1.1,0.0
Giannis Antetokounmpo,SF,Versatile Forward,2015.0,21.0,78.6,65.6,2572.4,9.38,18.68,0.4922000000000001,0.68,2.38,0.2684,8.66,16.3,0.521,6.300000000000001,8.5,0.7356,2.3,9.180000000000001,11.459999999999999,5.739999999999999,1.8399999999999999,1.9999999999999996,3.78,4.64,25.74,109.0,105.4,19.56,0.5666,0.1378,0.45499999999999996,5.260000000000001,20.78,13.020000000000001,19.099999999999998,1.8399999999999999,3.3600000000000003,14.959999999999999,23.28,4.540000000000001,3.22,7.760000000000001,0.13720000000000002,0.96,1.94,2.8999999999999995,3.4400000000000004,83.0,242.0,6217410.2,8.6,0.8622,0.48819999999999997,0.15560000000000002,0.0696,0.1478,0.1378,0.6736,0.3108,0.3008,0.3306,0.4948,0.1436,130.4,0.8012,0.165,0.2172,2.2,0.0
Carmelo Anthony,SF,3-and-D Wing,2010.0,26.0,66.52941176470588,66.52941176470588,2387.4117647058824,12.288235294117646,27.39411764705882,0.4482941176470588,1.852941176470588,5.276470588235293,0.34041176470588236,10.435294117647057,22.117647058823536,0.47041176470588236,8.047058823529412,9.847058823529412,0.8140588235294117,2.4,6.9823529411764715,9.382352941176471,4.270588235294118,1.423529411764706,0.7176470588235293,3.770588235294117,4.076470588235294,34.4764705882353,107.88235294117646,107.88235294117646,20.53529411764706,0.5424705882352941,0.19282352941176473,0.3591176470588235,5.382352941176471,15.641176470588237,10.494117647058824,15.682352941176472,1.423529411764706,1.0999999999999999,10.594117647058821,31.04117647058823,4.223529411764707,2.1705882352941175,6.394117647058825,0.1286470588235294,2.1999999999999997,-1.2823529411764711,0.9411764705882355,1.7705882352941182,80.0,240.0,15664700.05882353,12.770588235294118,0.8071764705882354,0.3053529411764706,0.08305882352941175,0.14117647058823532,0.27794117647058825,0.19282352941176473,0.5893529411764705,0.33364705882352946,0.3866470588235294,0.41794117647058826,0.4218823529411765,0.04823529411764706,61.11764705882353,0.8162352941176472,0.12376470588235294,0.35211764705882354,2.7058823529411766,0.0
OG Anunoby,SF,Shooting Wing,2017.0,20.0,74.0,62.0,1481.0,5.4,11.5,0.471,2.4,6.6,0.371,3.0,5.0,0.604,1.3,2.1,0.629,1.5,4.7,6.1,1.8,1.7,0.5,1.5,4.3,14.6,113.0,108.0,10.0,0.5870000000000001,0.569,0.179,3.4,10.4,7.0,5.0,1.7,0.8,10.8,12.4,1.4,1.6,3.0,0.098,0.2,0.4,0.6,1.0,80.0,232.0,1645200.0,14.5,0.431,0.353,0.049,0.014,0.014,0.569,0.6970000000000001,0.235,0.2,0.0,0.711,0.136,42.0,0.945,0.528,0.452,0.0,0.0
Trevor Ariza,SF,Shooting Wing,2010.2,25.2,63.0,43.13333333333333,1844.6666666666667,6.293333333333334,14.639999999999999,0.4322666666666667,1.8733333333333337,5.313333333333334,0.32453333333333334,4.433333333333334,9.326666666666666,0.483,3.086666666666667,4.426666666666666,0.7225333333333332,2.1266666666666665,6.666666666666667,8.78,3.7199999999999998,2.726666666666667,0.6199999999999999,2.4533333333333336,3.76,17.533333333333328,106.33333333333333,104.8,13.493333333333332,0.5293333333333333,0.3484666666666667,0.31720000000000004,4.760000000000001,14.879999999999999,9.806666666666667,11.193333333333335,2.726666666666667,0.9533333333333335,12.82,16.613333333333333,1.4,2.3266666666666667,3.733333333333334,0.09806666666666665,-0.033333333333333395,1.4666666666666666,1.4266666666666665,1.6666666666666667,80.0,215.0,5133505.4,12.773333333333337,0.6515333333333333,0.3715333333333334,0.08126666666666667,0.054,0.14479999999999998,0.3484666666666667,0.6194666666666666,0.28933333333333333,0.22840000000000002,0.3021333333333333,0.5908666666666668,0.08906666666666667,36.6,0.8252666666666666,0.4633333333333333,0.34220000000000006,1.4,0.06666666666666667
D.J. Augustin,PG,Floor General,2013.0625,26.0625,58.8125,15.5625,1389.4375,6.543749999999999,16.4125,0.3963125,2.6562500000000004,7.312500000000001,0.35968750000000005,3.8875000000000006,9.081249999999999,0.4235625000000001,4.4750000000000005,5.2124999999999995,0.858,0.5000000000000001,3.3937500000000007,3.9124999999999996,8.256250000000001,1.3250000000000002,0.10000000000000002,3.5187500000000003,3.33125,20.206249999999997,107.4375,109.9375,13.012500000000001,0.53775,0.4535,0.3155625,1.1187500000000001,7.425000000000001,4.249999999999999,25.700000000000003,1.3250000000000002,0.1375,15.912500000000003,19.325,2.0187500000000003,0.9375,2.9437499999999996,0.08525000000000002,0.30624999999999997,-2.6249999999999996,-2.3312500000000003,0.1625,72.0,183.0,3135769.375,15.80625,0.5464999999999999,0.24143750000000003,0.1195,0.060812500000000005,0.12431249999999999,0.4535,0.513625,0.2894375,0.32243749999999993,0.4126875000000001,0.20362499999999997,0.0,0.0,0.7066875000000001,0.19474999999999998,0.4088125,3.6875,0.25
Luke Babbitt,SF,3-and-D Wing,2014.0,25.0,48.875,14.25,678.625,6.3375,15.925,0.406625,3.5749999999999997,9.1,0.390375,2.7375000000000003,6.825,0.42724999999999996,1.2374999999999998,1.8375,0.711875,1.1125,7.2875000000000005,8.3875,2.0875,0.8125,0.5125,1.7624999999999997,4.875,17.45,104.375,110.25,9.3125,0.5387500000000001,0.5925000000000001,0.11174999999999999,2.375,16.5125,9.325000000000001,6.262499999999999,0.8125,0.8,9.4,16.2125,0.525,0.4125,0.9375,0.044875,-1.825,-1.9875000000000003,-3.8,-0.1375,81.0,225.0,1570365.25,18.400000000000002,0.40750000000000003,0.10675,0.12475000000000001,0.08349999999999999,0.0925,0.5925000000000001,0.50525,0.423875,0.34425,0.392125,0.492,0.006375,1.25,0.9776250000000001,0.267,0.421875,0.0,0.0
