Full Name,Pos,cluster
Arron Afflalo,SG,Shooting Wing
LaMarcus Aldridge,PF,Offensive Center
Jarrett Allen,C,Defensive Center
Al-Farouq Aminu,SF,Versatile Forward
Kyle Anderson,SF,Shooting Wing
Ryan Anderson,PF,Versatile Forward
Giannis Antetokounmpo,SF,Versatile Forward
Carmelo Anthony,SF,3-and-D Wing
OG Anunoby,SF,Shooting Wing
Trevor Ariza,SF,Shooting Wing
D.J. Augustin,PG,Floor General
Luke Babbitt,SF,3-and-D Wing
Lonzo Ball,PG,Combo Guard
Harrison Barnes,SF,3-and-D Wing
Nicolas Batum,SF,3-and-D Wing
Aron Baynes,C,Defensive Center
Kent Bazemore,SG,Scoring Wing
Bradley Beal,SG,Scoring Wing
Michael Beasley,PF,Versatile Forward
Marco Belinelli,SG,Shooting Wing
Dragan Bender,PF,Versatile Forward
Patrick Beverley,PG,Scoring Wing
Eric Bledsoe,PG,Combo Guard
Devin Booker,SG,Scoring Wing
Avery Bradley,PG,Shooting Wing
Corey Brewer,SF,Shooting Wing
Malcolm Brogdon,SG,Combo Guard
Dillon Brooks,SF,Shooting Wing
Jaylen Brown,SF,3-and-D Wing
Reggie Bullock,SF,Shooting Wing
Trey Burke,PG,Combo Guard
Jimmy Butler,SG,Shooting Wing
Kentavious Caldwell-Pope,SG,Shooting Wing
DeMarre Carroll,SF,3-and-D Wing
Vince Carter,SF,Shooting Wing
Michael Carter-Williams,PG,Combo Guard
Willie Cauley-Stein,C,Offensive Center
Mario Chalmers,PG,Combo Guard
Wilson Chandler,SF,Versatile Forward
Marquese Chriss,PF,Offensive Center
Jordan Clarkson,PG,Scoring Wing
John Collins,PF,Defensive Center
Darren Collison,PG,Combo Guard
Mike Conley,PG,Combo Guard
DeMarcus Cousins,C,Defensive Center
Robert Covington,SF,3-and-D Wing
Allen Crabbe,SG,3-and-D Wing
Jamal Crawford,PG,Combo Guard
Jae Crowder,SF,3-and-D Wing
Dante Cunningham,PF,Versatile Forward
Stephen Curry,PG,Combo Guard
Anthony Davis,PF,Offensive Center
DeMar DeRozan,SG,Shooting Wing
Dewayne Dedmon,C,Defensive Center
Matthew Dellavedova,SG,Floor General
Gorgui Dieng,C,Offensive Center
Spencer Dinwiddie,PG,Floor General
Jared Dudley,PF,3-and-D Wing
Kris Dunn,PG,Combo Guard
Kevin Durant,SG,3-and-D Wing
Wayne Ellington,SG,Shooting Wing
Joel Embiid,C,Defensive Center
Tyreke Evans,SG,Combo Guard
Dante Exum,PG,Combo Guard
Derrick Favors,PF,Offensive Center
Raymond Felton,PG,Floor General
Yogi Ferrell,PG,Combo Guard
Dorian Finney-Smith,PF,3-and-D Wing
Evan Fournier,SG,Scoring Wing
De'Aaron Fox,PG,Combo Guard
Channing Frye,C,Offensive Center
Danilo Gallinari,SG,3-and-D Wing
Marc Gasol,C,Offensive Center
Pau Gasol,PF,Offensive Center
Rudy Gay,SF,3-and-D Wing
Paul George,SG,Shooting Wing
Taj Gibson,PF,Offensive Center
Aaron Gordon,PF,Versatile Forward
Eric Gordon,SG,Scoring Wing
Jerami Grant,SF,Versatile Forward
Jerian Grant,PG,Combo Guard
Danny Green,SG,Shooting Wing
Draymond Green,SF,Versatile Forward
JaMychal Green,PF,Offensive Center
Jeff Green,SF,3-and-D Wing
Blake Griffin,PF,Versatile Forward
James Harden,SG,Combo Guard
Maurice Harkless,SF,3-and-D Wing
Devin Harris,PG,Combo Guard
Gary Harris,SG,Shooting Wing
Tobias Harris,SF,Versatile Forward
Andrew Harrison,PG,Combo Guard
Josh Hart,SG,3-and-D Wing
John Henson,C,Defensive Center
