Full Name,Pos,cluster,index,Last Name,First Name,Year,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,salary,Dist.,2P_A,0-3_A,3-10_A,10-16_A,16-3pt_A,3P_A,0-3%,3-10%,10-16%,16-3pt%,Astd_2P,Dunk%,Dunks_Md,Astd_3P,%Corner3_A,Corner_3P%,Heaves_A,Heaves_Md
Steven Adams,C,Rim Protector,2,Adams,Steven,2018.0,25.0,OKC,80.0,80.0,2669.0,8.4,14.1,0.595,0.0,0.0,0.0,8.4,14.1,0.596,2.6,5.1,0.5,6.8,6.5,13.3,2.2,2.0,1.3,2.4,3.6,19.4,120.0,106.0,18.5,0.591,0.002,0.361,14.7,14.8,14.7,6.6,2.0,2.4,12.6,16.4,5.1,4.0,9.1,0.163,0.6,2.1,2.7,3.2,24157304.0,3.5,0.998,0.645,0.294,0.058,0.0,0.002,0.667,0.458,0.511,,0.642,0.19,131.0,,0.0,,2.0,0.0
Steven Adams,C,Rim Protector,639,Adams,Steven,2017.0,24.0,OKC,76.0,76.0,2487.0,8.9,14.2,0.629,0.0,0.0,0.0,8.9,14.2,0.631,3.2,5.7,0.5589999999999999,7.7,6.0,13.7,1.8,1.8,1.6,2.6,4.3,21.1,125.0,107.0,20.6,0.63,0.003,0.402,16.6,13.9,15.3,5.5,1.8,2.8,13.3,16.7,6.7,3.0,9.7,0.187,2.2,1.1,3.3,3.3,22471911.0,2.6,0.997,0.708,0.233,0.052000000000000005,0.004,0.003,0.688,0.494,0.514,0.0,0.69,0.242,150.0,,0.0,,2.0,0.0
Steven Adams,C,Rim Protector,1242,Adams,Steven,2016.0,23.0,OKC,80.0,80.0,2389.0,7.7,13.5,0.5710000000000001,0.0,0.0,0.0,7.7,13.4,0.5720000000000001,3.2,5.3,0.611,5.8,6.8,12.6,1.8,1.8,1.6,3.0,4.0,18.6,114.0,107.0,16.5,0.589,0.002,0.392,13.0,15.4,14.2,5.4,1.8,2.6,16.0,16.2,3.3,3.1,6.5,0.13,-0.7,1.2,0.6,1.5,3140517.0,3.7,0.998,0.557,0.388,0.046,0.005,0.002,0.655,0.488,0.3670000000000001,0.0,0.6679999999999999,0.198,112.0,,0.0,,1.0,0.0
Steven Adams,C,Rim Protector,1825,Adams,Steven,2015.0,22.0,OKC,80.0,80.0,2014.0,6.4,10.5,0.613,0.0,0.0,,6.4,10.5,0.613,2.8,4.8,0.5820000000000001,5.4,7.7,13.1,1.5,1.0,2.2,2.1,5.5,15.7,123.0,105.0,15.5,0.621,0.0,0.46,12.5,16.1,14.4,4.3,1.0,3.3,14.1,12.6,4.2,2.3,6.5,0.155,0.8,1.3,2.1,2.1,2279040.0,2.2,1.0,0.721,0.258,0.016,0.005,0.0,0.655,0.5,0.5710000000000001,0.5,0.762,0.277,101.0,,,,0.0,0.0
Steven Adams,C,Rim Protector,2365,Adams,Steven,2014.0,21.0,OKC,70.0,67.0,1771.0,6.1,11.3,0.544,0.0,0.1,0.0,6.1,11.2,0.547,2.9,5.8,0.502,5.6,9.2,14.8,1.9,1.1,2.4,2.8,6.3,15.2,108.0,104.0,14.1,0.5489999999999999,0.005,0.514,12.2,19.3,15.8,5.5,1.1,3.8,16.8,14.3,1.9,2.2,4.1,0.111,-1.4,1.8,0.4,1.1,2184960.0,3.3,0.995,0.599,0.35600000000000004,0.038,0.003,0.005,0.644,0.408,0.333,0.0,0.65,0.213,72.0,,0.0,,1.0,0.0
Steven Adams,C,Rim Protector,2973,Adams,Steven,2013.0,20.0,OKC,81.0,20.0,1197.0,3.9,7.8,0.503,0.0,0.0,,3.9,7.8,0.503,3.3,5.7,0.581,6.0,8.0,13.9,1.8,1.7,2.4,3.0,8.5,11.1,108.0,102.0,11.2,0.541,0.0,0.735,14.1,17.1,15.6,4.9,1.7,3.9,22.5,11.7,0.9,1.9,2.9,0.114,-2.1,2.4,0.3,0.7,2090880.0,3.2,1.0,0.659,0.292,0.043,0.005,0.0,0.615,0.29600000000000004,0.25,0.0,0.613,0.162,26.0,,,,0.0,0.0
Bam Adebayo,C,Skilled Big,3,Adebayo,Bam,2018.0,21.0,MIA,82.0,28.0,1913.0,7.2,12.4,0.5760000000000001,0.1,0.4,0.2,7.1,12.0,0.588,4.2,5.8,0.735,4.2,11.0,15.2,4.7,1.8,1.7,3.1,5.2,18.6,120.0,104.0,17.9,0.623,0.031,0.465,9.2,24.0,16.6,14.2,1.8,3.0,17.1,15.8,3.4,3.4,6.8,0.171,-0.6,3.6,3.0,2.4,2955840.0,5.2,0.969,0.5720000000000001,0.243,0.121,0.033,0.031,0.716,0.415,0.373,0.438,0.7,0.257,117.0,0.667,0.267,0.0,2.0,0.0
Bam Adebayo,C,Skilled Big,640,Adebayo,Bam,2017.0,20.0,MIA,69.0,19.0,1368.0,6.4,12.5,0.512,0.0,0.3,0.0,6.4,12.2,0.523,4.7,6.6,0.721,4.3,9.7,14.0,3.7,1.2,1.5,2.4,5.1,17.5,116.0,105.0,15.7,0.57,0.021,0.526,9.7,21.6,15.6,11.0,1.2,2.5,13.6,15.9,2.3,1.9,4.2,0.14800000000000002,-1.6,1.8,0.2,0.8,2490360.0,4.3,0.979,0.624,0.232,0.08199999999999999,0.041,0.021,0.642,0.329,0.321,0.214,0.701,0.294,91.0,,0.0,,4.0,0.0
LaMarcus Aldridge,C,Skilled Big,6,Aldridge,LaMarcus,2018.0,33.0,SAS,81.0,81.0,2687.0,12.4,24.0,0.519,0.2,0.8,0.238,12.3,23.2,0.528,6.3,7.5,0.847,4.6,9.0,13.5,3.5,0.8,1.9,2.6,3.3,31.4,117.0,110.0,22.9,0.5760000000000001,0.032,0.312,10.3,19.8,15.1,11.6,0.8,3.4,8.8,26.9,6.4,2.9,9.3,0.16699999999999998,1.2,0.5,1.6,2.5,22347015.0,9.7,0.968,0.27,0.246,0.252,0.201,0.032,0.716,0.485,0.4370000000000001,0.442,0.588,0.042,51.0,0.9,0.095,0.25,0.0,0.0
LaMarcus Aldridge,C,Skilled Big,643,Aldridge,LaMarcus,2017.0,32.0,SAS,75.0,75.0,2509.0,13.8,27.1,0.51,0.5,1.9,0.293,13.3,25.3,0.526,6.7,8.0,0.8370000000000001,5.0,7.8,12.8,3.1,0.9,1.8,2.2,3.2,34.9,118.0,105.0,25.0,0.57,0.068,0.29600000000000004,10.8,17.3,14.0,11.3,0.9,3.0,6.8,29.1,7.4,3.5,10.9,0.209,3.0,0.3,3.3,3.3,21461010.0,9.8,0.932,0.275,0.212,0.256,0.189,0.068,0.735,0.446,0.438,0.431,0.502,0.036000000000000004,46.0,0.963,0.163,0.467,1.0,0.0
