year,salary_cap,2015_dollars
1984,"$3,600,000 ","$7,934,034 "
1985,"$4,233,000 ","$9,153,509 "
1986,"$4,945,000 ","$10,317,292 "
1987,"$6,164,000 ","$12,354,015 "
1988,"$7,232,000 ","$13,829,137 "
1989,"$9,802,000 ","$17,783,913 "
1990,"$11,871,000 ","$20,658,962 "
1991,"$12,500,000 ","$21,113,943 "
1992,"$14,000,000 ","$22,972,126 "
1993,"$15,175,000 ","$24,268,416 "
1994,"$15,964,000 ","$24,833,276 "
1995,"$23,000,000 ","$34,761,086 "
1996,"$24,363,000 ","$35,973,807 "
1997,"$26,900,000 ","$39,119,783 "
1998,"$30,000,000 ","$42,686,775 "
1999,"$34,000,000 ","$46,798,454 "
2000,"$35,500,000 ","$47,522,364 "
2001,"$42,500,000 ","$56,008,788 "
2002,"$40,271,000 ","$51,890,436 "
2003,"$43,840,000 ","$55,016,264 "
2004,"$43,870,000 ","$53,243,484 "
2005,"$49,500,000 ","$58,202,129 "
2006,"$53,135,000 ","$60,741,551 "
2007,"$55,630,000 ","$61,244,588 "
2008,"$58,680,000 ","$64,832,889 "
2009,"$57,700,000 ","$62,718,922 "
2010,"$58,044,000 ","$61,160,859 "
2011,"$58,044,000 ","$59,928,600 "
2012,"$58,044,000 ","$59,063,916 "
2013,"$58,679,000 ","$58,753,235 "
2014,"$63,065,000 ","$63,065,000 "
2015,"$70,000,000 ","$69,126,577 "
2016,"$94,143,000 ","$91,334,866 "
2017,"$99,093,000 ",
2018,"$101,869,000 ",
2019,"$109,000,000 ",
2020,"$118,000,000 ",
