,name,height,weight,shoots,salary,year
0,Alaa Abdelnaby,82.0,240.0,Right,395000,1990
1,Alaa Abdelnaby,82.0,240.0,Right,494000,1991
2,Alaa Abdelnaby,82.0,240.0,Right,500000,1992
3,Alaa Abdelnaby,82.0,240.0,Right,805000,1993
4,Alaa Abdelnaby,82.0,240.0,Right,650000,1994
5,Kareem Abdul-Jabbar,86.0,225.0,Right,1530000,1984
6,Kareem Abdul-Jabbar,86.0,225.0,Right,2030000,1985
7,Kareem Abdul-Jabbar,86.0,225.0,Right,2000000,1987
8,Kareem Abdul-Jabbar,86.0,225.0,Right,3000000,1988
9,Mahmoud Abdul-Rauf,73.0,162.0,Right,1660000,1990
10,Mahmoud Abdul-Rauf,73.0,162.0,Right,2008000,1991
11,Mahmoud Abdul-Rauf,73.0,162.0,Right,2358000,1992
12,Mahmoud Abdul-Rauf,73.0,162.0,Right,1825000,1993
13,Mahmoud Abdul-Rauf,73.0,162.0,Right,2200000,1994
14,Mahmoud Abdul-Rauf,73.0,162.0,Right,2600000,1995
15,Mahmoud Abdul-Rauf,73.0,162.0,Right,3100000,1996
16,Mahmoud Abdul-Rauf,73.0,162.0,Right,3300000,1997
17,Mahmoud Abdul-Rauf,73.0,162.0,Right,798500,2000
18,Tariq Abdul-Wahad,78.0,223.0,Right,1226880,1997
19,Tariq Abdul-Wahad,78.0,223.0,Right,1411000,1998
20,Tariq Abdul-Wahad,78.0,223.0,Right,1594920,1999
21,Tariq Abdul-Wahad,78.0,223.0,Right,4500000,2000
22,Tariq Abdul-Wahad,78.0,223.0,Right,5062500,2001
23,Tariq Abdul-Wahad,78.0,223.0,Right,5625000,2002
24,Tariq Abdul-Wahad,78.0,223.0,Right,6187500,2003
25,Tariq Abdul-Wahad,78.0,223.0,Right,6750000,2004
26,Tariq Abdul-Wahad,78.0,223.0,Right,3656250,2005
27,Tariq Abdul-Wahad,78.0,223.0,Right,1968750,2006
28,Shareef Abdur-Rahim,81.0,225.0,Right,2186000,1996
29,Shareef Abdur-Rahim,81.0,225.0,Right,9000000,1999
30,Shareef Abdur-Rahim,81.0,225.0,Right,10130000,2000
31,Shareef Abdur-Rahim,81.0,225.0,Right,11250000,2001
32,Shareef Abdur-Rahim,81.0,225.0,Right,12375000,2002
33,Shareef Abdur-Rahim,81.0,225.0,Right,13500000,2003
34,Shareef Abdur-Rahim,81.0,225.0,Right,14625000,2004
35,Shareef Abdur-Rahim,81.0,225.0,Right,5000000,2005
36,Shareef Abdur-Rahim,81.0,225.0,Right,5400000,2006
37,Shareef Abdur-Rahim,81.0,225.0,Right,5800000,2007
38,Shareef Abdur-Rahim,81.0,225.0,Right,6600000,2009
39,Alex Abrines,78.0,200.0,Right,5994764,2016
40,Alex Abrines,78.0,200.0,Right,5725000,2017
41,Alex Acker,77.0,185.0,Right,398762,2005
42,Alex Acker,77.0,185.0,Right,839209,2006
43,Alex Acker,77.0,185.0,Right,711517,2008
44,Mark Acres,83.0,220.0,Right,75000,1987
45,Mark Acres,83.0,220.0,Right,300000,1988
46,Mark Acres,83.0,220.0,Right,437000,1990
47,Mark Acres,83.0,220.0,Right,547000,1991
48,Mark Acres,83.0,220.0,Right,250000,1992
49,Quincy Acy,79.0,240.0,Right,665000,2012
50,Quincy Acy,79.0,240.0,Right,788872,2013
51,Quincy Acy,79.0,240.0,Right,915243,2014
52,Quincy Acy,79.0,240.0,Right,981348,2015
53,Quincy Acy,79.0,240.0,Right,1914544,2016
54,Quincy Acy,79.0,240.0,Right,1050961,2016
55,Quincy Acy,79.0,240.0,Right,1709538,2017
56,Alvan Adams,81.0,210.0,Right,500000,1984
57,Alvan Adams,81.0,210.0,Right,600000,1985
58,Alvan Adams,81.0,210.0,Right,675000,1987
59,Hassan Adams,76.0,220.0,Right,412718,2006
60,Hassan Adams,76.0,220.0,Right,297163,2008
61,Jordan Adams,77.0,209.0,Right,1344120,2014
62,Jordan Adams,77.0,209.0,Right,1404600,2015
63,Jordan Adams,77.0,209.0,Right,1465080,2016
64,Michael Adams,70.0,162.0,Right,85000,1985
65,Michael Adams,70.0,162.0,Right,160000,1987
66,Michael Adams,70.0,162.0,Right,375000,1988
67,Michael Adams,70.0,162.0,Right,825000,1990
68,Michael Adams,70.0,162.0,Right,1309000,1991
69,Michael Adams,70.0,162.0,Right,1309000,1992
70,Michael Adams,70.0,162.0,Right,1309000,1993
71,Michael Adams,70.0,162.0,Right,1240000,1994
72,Steven Adams,84.0,265.0,Right,2090880,2013
73,Steven Adams,84.0,265.0,Right,2184960,2014
74,Steven Adams,84.0,265.0,Right,2279040,2015
75,Steven Adams,84.0,265.0,Right,3140517,2016
76,Steven Adams,84.0,265.0,Right,22471910,2017
77,Rafael Addison,79.0,215.0,Right,311000,1991
78,Rafael Addison,79.0,215.0,Right,522000,1992
79,Rafael Addison,79.0,215.0,Right,250000,1994
80,Rafael Addison,79.0,215.0,Right,360000,1995
81,Rafael Addison,79.0,215.0,Right,290000,1996
82,Bam Adebayo,82.0,255.0,Right,2490360,2017
83,Jeff Adrien,79.0,245.0,Right,342666,2010
84,Jeff Adrien,79.0,245.0,Right,270427,2011
85,Jeff Adrien,79.0,245.0,Right,804131,2012
86,Jeff Adrien,79.0,245.0,Right,916099,2013
87,Jeff Adrien,79.0,245.0,Right,981084,2014
88,Arron Afflalo,77.0,210.0,Right,944520,2007
89,Arron Afflalo,77.0,210.0,Right,1015440,2008
90,Arron Afflalo,77.0,210.0,Right,1086240,2009
91,Arron Afflalo,77.0,210.0,Right,1959577,2010
92,Arron Afflalo,77.0,210.0,Right,7562500,2011
93,Arron Afflalo,77.0,210.0,Right,7750000,2012
94,Arron Afflalo,77.0,210.0,Right,7312500,2013
95,Arron Afflalo,77.0,210.0,Right,7750000,2014
96,Arron Afflalo,77.0,210.0,Right,8000000,2015
97,Arron Afflalo,77.0,210.0,Right,12500000,2016
98,Arron Afflalo,77.0,210.0,Right,1500000,2017
99,Arron Afflalo,77.0,210.0,Right,1471382,2017
100,Maurice Ager,77.0,202.0,Right,906480,2006
101,Maurice Ager,77.0,202.0,Right,974400,2007
102,Maurice Ager,77.0,202.0,Right,1042440,2008
103,Maurice Ager,77.0,202.0,Right,83305,2010
104,Mark Aguirre,78.0,232.0,Right,800000,1984
105,Mark Aguirre,78.0,232.0,Right,626240,1985
106,Mark Aguirre,78.0,232.0,Right,715700,1987
107,Mark Aguirre,78.0,232.0,Right,715700,1988
108,Mark Aguirre,78.0,232.0,Right,1115000,1990
109,Mark Aguirre,78.0,232.0,Right,1232000,1991
110,Mark Aguirre,78.0,232.0,Right,1351000,1992
111,Mark Aguirre,78.0,232.0,Right,1471000,1993
112,Mark Aguirre,78.0,232.0,Right,150000,1993
113,Blake Ahearn,74.0,190.0,Right,125562,2008
114,Danny Ainge,76.0,175.0,Right,400000,1984
115,Danny Ainge,76.0,175.0,Right,550000,1985
116,Danny Ainge,76.0,175.0,Right,625000,1987
117,Danny Ainge,76.0,175.0,Right,675000,1988
118,Danny Ainge,76.0,175.0,Right,725000,1990
119,Danny Ainge,76.0,175.0,Right,725000,1991
120,Danny Ainge,76.0,175.0,Right,1330000,1992
121,Danny Ainge,76.0,175.0,Right,1690000,1993
122,Danny Ainge,76.0,175.0,Right,2080000,1994
123,Alexis Ajinca,86.0,248.0,Right,1276320,2008
124,Alexis Ajinca,86.0,248.0,Right,1372080,2009
125,Alexis Ajinca,86.0,248.0,Right,1467840,2010
126,Alexis Ajinca,86.0,248.0,Right,981084,2014
127,Alexis Ajinca,86.0,248.0,Right,4300000,2015
128,Alexis Ajinca,86.0,248.0,Right,4600000,2016
129,Alexis Ajinca,86.0,248.0,Right,4961798,2017
130,Josh Akognon,71.0,185.0,Right,788872,2013
131,Solomon Alabi,85.0,251.0,Right,770000,2010
132,Solomon Alabi,85.0,251.0,Right,830000,2011
133,Mark Alarie,80.0,217.0,Right,232500,1987
134,Mark Alarie,80.0,217.0,Right,250000,1988
135,Mark Alarie,80.0,217.0,Right,500000,1990
136,Mark Alarie,80.0,217.0,Right,550000,1991
137,Furkan Aldemir,82.0,240.0,Right,3000000,2014
138,Furkan Aldemir,82.0,240.0,Right,3000000,2015
139,Cole Aldrich,83.0,250.0,Right,2126520,2010
140,Cole Aldrich,83.0,250.0,Right,2286000,2011
141,Cole Aldrich,83.0,250.0,Right,2445480,2012
142,Cole Aldrich,83.0,250.0,Right,981084,2014
143,Cole Aldrich,83.0,250.0,Right,1100600,2015
144,Cole Aldrich,83.0,250.0,Right,7643979,2016
145,Cole Aldrich,83.0,250.0,Right,7300000,2017
146,LaMarcus Aldridge,83.0,260.0,Right,4027320,2006
147,LaMarcus Aldridge,83.0,260.0,Right,4329360,2007
148,LaMarcus Aldridge,83.0,260.0,Right,4631400,2008
149,LaMarcus Aldridge,83.0,260.0,Right,5844827,2009
150,LaMarcus Aldridge,83.0,260.0,Right,11244000,2010
151,LaMarcus Aldridge,83.0,260.0,Right,12372000,2011
152,LaMarcus Aldridge,83.0,260.0,Right,13500000,2012
153,LaMarcus Aldridge,83.0,260.0,Right,14128000,2013
154,LaMarcus Aldridge,83.0,260.0,Right,16006000,2014
155,LaMarcus Aldridge,83.0,260.0,Right,19500000,2015
156,LaMarcus Aldridge,83.0,260.0,Right,20575005,2016
157,LaMarcus Aldridge,83.0,260.0,Right,21461010,2017
158,Cliff Alexander,80.0,245.0,Right,525093,2015
159,Cliff Alexander,80.0,245.0,Right,51449,2016
160,Cory Alexander,73.0,185.0,Right,490000,1995
161,Cory Alexander,73.0,185.0,Right,521000,1996
162,Cory Alexander,73.0,185.0,Right,562380,1997
163,Cory Alexander,73.0,185.0,Right,1980000,1999
164,Cory Alexander,73.0,185.0,Right,2160000,2000
165,Cory Alexander,73.0,185.0,Right,1995741,2001
166,Cory Alexander,73.0,185.0,Right,2149259,2002
167,Cory Alexander,73.0,185.0,Right,2302778,2003
168,Courtney Alexander,77.0,205.0,Right,1319400,2000
169,Courtney Alexander,77.0,205.0,Right,1418400,2001
170,Courtney Alexander,77.0,205.0,Right,1517280,2002
171,Courtney Alexander,77.0,205.0,Right,2168193,2003
172,Courtney Alexander,77.0,205.0,Right,79029,2004
173,Gary Alexander,79.0,240.0,Right,150000,1994
174,Joe Alexander,80.0,230.0,Right,2403120,2008
175,Joe Alexander,80.0,230.0,Right,2583360,2009
176,Joe Alexander,80.0,230.0,Right,90465,2010
177,Victor Alexander,81.0,265.0,Right,750000,1991
178,Victor Alexander,81.0,265.0,Right,942000,1992
179,Victor Alexander,81.0,265.0,Right,1160000,1993
180,Victor Alexander,81.0,265.0,Right,1377500,1994
181,Victor Alexander,81.0,265.0,Right,1595000,1995
182,Victor Alexander,81.0,265.0,Right,653350,2001
183,Steve Alford,74.0,183.0,Right,100000,1987
184,Steve Alford,74.0,183.0,Right,150000,1988
185,Steve Alford,74.0,183.0,Right,250000,1990
186,Jarrett Allen,83.0,237.0,Right,1713720,2017
187,Jerome Allen,76.0,184.0,Right,200000,1995
188,Jerome Allen,76.0,184.0,Right,247500,1996
189,Jerome Allen,76.0,184.0,Right,35000,1997
190,Jerome Allen,76.0,184.0,Right,510000,1999
191,Lavoy Allen,81.0,260.0,Right,473604,2011
192,Lavoy Allen,81.0,260.0,Right,3000000,2012
193,Lavoy Allen,81.0,260.0,Right,3060000,2013
194,Lavoy Allen,81.0,260.0,Right,948163,2014
195,Lavoy Allen,81.0,260.0,Right,3700000,2015
196,Lavoy Allen,81.0,260.0,Right,4000000,2016
197,Malik Allen,82.0,255.0,Right,332817,2001
198,Malik Allen,82.0,255.0,Right,512435,2002
199,Malik Allen,82.0,255.0,Right,1510000,2003
200,Malik Allen,82.0,255.0,Right,1950625,2004
201,Malik Allen,82.0,255.0,Right,1670000,2005
202,Malik Allen,82.0,255.0,Right,1803600,2006
203,Malik Allen,82.0,255.0,Right,998398,2007
204,Malik Allen,82.0,255.0,Right,1300000,2008
205,Malik Allen,82.0,255.0,Right,1300000,2009
206,Malik Allen,82.0,255.0,Right,1229255,2010
207,Ray Allen,77.0,205.0,Right,1785000,1996
208,Ray Allen,77.0,205.0,Right,2052360,1997
209,Ray Allen,77.0,205.0,Right,2320000,1998
210,Ray Allen,77.0,205.0,Right,9000000,1999
211,Ray Allen,77.0,205.0,Right,10130000,2000
212,Ray Allen,77.0,205.0,Right,11250000,2001
213,Ray Allen,77.0,205.0,Right,12375000,2002
214,Ray Allen,77.0,205.0,Right,13500000,2003
215,Ray Allen,77.0,205.0,Right,14625000,2004
216,Ray Allen,77.0,205.0,Right,13223140,2005
217,Ray Allen,77.0,205.0,Right,14611570,2006
218,Ray Allen,77.0,205.0,Right,16000000,2007
219,Ray Allen,77.0,205.0,Right,18388430,2008
220,Ray Allen,77.0,205.0,Right,18776860,2009
221,Ray Allen,77.0,205.0,Right,10000000,2010
222,Ray Allen,77.0,205.0,Right,10000000,2011
223,Ray Allen,77.0,205.0,Right,3090000,2012
224,Ray Allen,77.0,205.0,Right,3229050,2013
225,Tony Allen,76.0,213.0,Right,901920,2004
226,Tony Allen,76.0,213.0,Right,969696,2005
227,Tony Allen,76.0,213.0,Right,1037280,2006
228,Tony Allen,76.0,213.0,Right,1868141,2007
229,Tony Allen,76.0,213.0,Right,2500000,2008
230,Tony Allen,76.0,213.0,Right,2500000,2009
231,Tony Allen,76.0,213.0,Right,3000000,2010
232,Tony Allen,76.0,213.0,Right,3150000,2011
233,Tony Allen,76.0,213.0,Right,3300000,2012
234,Tony Allen,76.0,213.0,Right,4494382,2013
235,Tony Allen,76.0,213.0,Right,4831461,2014
236,Tony Allen,76.0,213.0,Right,5168539,2015
237,Tony Allen,76.0,213.0,Right,5505618,2016
238,Tony Allen,76.0,213.0,Right,1471382,2017
239,Morris Almond,78.0,225.0,Right,1005960,2007
240,Morris Almond,78.0,225.0,Right,1081440,2008
241,Derrick Alston,83.0,225.0,Right,150000,1994
242,Derrick Alston,83.0,225.0,Right,350000,1995
243,Rafer Alston,74.0,171.0,Right,301875,1999
244,Rafer Alston,74.0,171.0,Right,423500,2000
245,Rafer Alston,74.0,171.0,Right,625000,2001
246,Rafer Alston,74.0,171.0,Right,37344,2002
247,Rafer Alston,74.0,171.0,Right,688679,2003
248,Rafer Alston,74.0,171.0,Right,3500000,2004
249,Rafer Alston,74.0,171.0,Right,3850000,2005
250,Rafer Alston,74.0,171.0,Right,4200000,2006
251,Rafer Alston,74.0,171.0,Right,4550000,2007
252,Rafer Alston,74.0,171.0,Right,4900000,2008
253,Rafer Alston,74.0,171.0,Right,4300000,2009
254,Rafer Alston,74.0,171.0,Right,753133,2009
255,John Amaechi,82.0,270.0,Right,200000,1995
256,John Amaechi,82.0,270.0,Right,385000,1999
257,John Amaechi,82.0,270.0,Right,600000,2000
258,John Amaechi,82.0,270.0,Right,2175000,2001
259,John Amaechi,82.0,270.0,Right,2392500,2002
260,John Amaechi,82.0,270.0,Right,2610000,2003
261,John Amaechi,82.0,270.0,Right,1200000,2004
262,Ashraf Amaya,80.0,230.0,Right,225000,1995
263,Ashraf Amaya,80.0,230.0,Right,247500,1996
264,Al-Farouq Aminu,81.0,220.0,Right,2563320,2010
